Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
JATT III Acquisition (Stock-Only),JTTT,Blank Check,8/26/2026,6,$10.00 ,$11.45 ,$11.45 ,14.50%,S/O
Advasa Holdings (Direct Listing),ADBT,Technology,8/25/2026,0,$12.00 ,$6.76 ,$6.76 ,-43.67%,S/O
First Breach (Direct Listing),FBDT,Other,8/20/2026,1.2,$12.00 ,$4.15 ,$4.15 ,-65.42%,S/O
QNB Corp. (Uplisting),QNBC,Financials,8/20/2026,1.1,$42.00 ,$43.87 ,$43.87 ,6.83%,S/O
Lyntris,LYNX,Technology,8/19/2026,17,$17.50 ,$15.01 ,$15.55 ,-11.14%,S/O
Robinhood Ventures Fund II (Closed End),RVII,Financials,8/13/2026,8,$25.00 ,$22.95 ,$23.41 ,-6.36%,S/O
Londian Wason New Energy Tech,FOIL,Basic Materials,8/12/2026,4.3,$22.00 ,$24.50 ,$22.58 ,2.64%,S/O
SunScout Holding Ltd.,SNSC,Consumer Goods,8/12/2026,3.1,$5.00 ,$3.07 ,$1.47 ,-70.60%,S/O
Vogenx,VOGX,Health Care,8/12/2026,6.3,$13.00 ,$13.00 ,$23.65 ,81.92%,S/O
BlossomHill Therapeutics,BLSM,Health Care,8/7/2026,9.4,$16.00 ,$16.00 ,$15.80 ,-1.25%,S/O
Latigo Biotherapeutics,LTGO,Health Care,8/7/2026,19.2,$18.00 ,$18.25 ,$21.40 ,18.89%,S/O
Ticketplus,TP,Technology,8/7/2026,1.9,$8.00 ,$7.00 ,$7.65 ,-4.38%,S/O
Braveheart Bio,BRVE,Health Care,8/6/2026,21.3,$18.00 ,$29.80 ,$27.42 ,52.33%,S/O
Attovia Therapeutics,ATTO,Health Care,8/5/2026,17,$17.00 ,$21.90 ,$20.21 ,18.88%,S/O
TCGX Acquisition (Stock-Only),TCGX,Blank Check,8/5/2026,7.5,$10.00 ,$10.75 ,$14.10 ,41.00%,S/O
Apnimed,APMD,Health Care,7/31/2026,12,$16.00 ,$25.00 ,$28.55 ,78.44%,S/O
Jersey Mike’s Subs Inc.,JMKE,Consumer Goods,7/30/2026,43.5,$23.00 ,$21.63 ,$22.66 ,-1.48%,S/O
Reformation Inc.,REF,Consumer Goods,7/30/2026,14.1,$15.00 ,$15.08 ,$14.51 ,-3.27%,S/O
IMC Rare Earths Ltd.,IMC,Basic Materials,7/29/2026,4,$5.00 ,$5.13 ,$11.00 ,120.00%,S/O
Ionic Digital (NASDAQ Direct Listing),IOND,Technology,7/28/2026,10.8,$50.00 ,$62.90 ,$68.77 ,37.54%,S/O
"Scribe Therapeutics, Inc.",SCTX,Health Care,7/24/2026,8.6,$15.00 ,$21.65 ,$32.83 ,118.87%,S/O
"Csquare, Inc.",CSQR,Technology,7/16/2026,50,$21.00 ,$20.67 ,$20.36 ,-3.05%,S/O
QumulusAI (Direct Listing),QMLS,Technology,7/16/2026,39.5,$13.08 ,$21.43 ,$5.36 ,-59.02%,S/O
"Standard Nuclear, Inc.",STDN,Utilities,7/16/2026,10,$15.00 ,$12.30 ,$12.97 ,-6.67%,S/O
Research Alliance Corp. IV (Stock-Only),RACD,Blank Check,7/13/2026,7.5,$10.00 ,$10.34 ,$11.99 ,19.90%,S/O
SK hynix (NASDAQ Uplisting),SKHY,Technology,7/10/2026,177.9,$149.00 ,$168.01 ,$163.08 ,9.45%,S/O
Bending Spoons S.p.A.,BSP,Technology,7/1/2026,58,$29.00 ,$40.50 ,$39.93 ,37.69%,S/O
ITG,ITG,Other,7/1/2026,19.5,$16.00 ,$17.71 ,$12.53 ,-21.69%,S/O
