Ticker,Industry,Date,Shares,OfferPrice,FirstDayClose,CurrentPrice,Return,DaysSincePublic
JTTT,Blank Check,26/8/2026,6.0,1000,1145,1145,14.499999999999998,27
ADBT,Technology,25/8/2026,0.0,1200,676,676,-43.666666666666664,28
FBDT,Other,20/8/2026,1.2,1200,415,415,-65.41666666666667,33
QNBC,Financials,20/8/2026,1.1,4200,4387,4387,4.4523809523809526,33
LYNX,Technology,19/8/2026,17.0,1750,1501,1555,-11.142857142857142,34
RVII,Financials,13/8/2026,8.0,2500,2295,2341,-6.36,40
FOIL,Basic Materials,12/8/2026,4.3,2200,2450,2258,2.6363636363636362,41
SNSC,Consumer Goods,12/8/2026,3.1,500,307,147,-70.6,41
VOGX,Health Care,12/8/2026,6.3,1300,1300,2365,81.92307692307692,41
BLSM,Health Care,7/8/2026,9.4,1600,1600,1580,-1.25,46
LTGO,Health Care,7/8/2026,19.2,1800,1825,2140,18.88888888888889,46
TP,Technology,7/8/2026,1.9,800,700,765,-4.375,46
BRVE,Health Care,6/8/2026,21.3,1800,2980,2742,52.33333333333333,47
ATTO,Health Care,5/8/2026,17.0,1700,2190,2021,18.88235294117647,48
TCGX,Blank Check,5/8/2026,7.5,1000,1075,1410,41.0,48
APMD,Health Care,31/7/2026,12.0,1600,2500,2855,78.4375,53
JMKE,Consumer Goods,30/7/2026,43.5,2300,2163,2266,-1.4782608695652173,54
REF,Consumer Goods,30/7/2026,14.1,1500,1508,1451,-3.266666666666666,54
IMC,Basic Materials,29/7/2026,4.0,500,513,1100,120.0,55
IOND,Technology,28/7/2026,10.8,5000,6290,6877,37.54,56
SCTX,Health Care,24/7/2026,8.6,1500,2165,3283,118.86666666666667,60
CSQR,Technology,16/7/2026,50.0,2100,2067,2036,-3.0476190476190474,68
QMLS,Technology,16/7/2026,39.5,1308,2143,536,-59.021406727828754,68
STDN,Utilities,16/7/2026,10.0,1500,1230,1297,-13.533333333333333,68
RACD,Blank Check,13/7/2026,7.5,1000,1034,1199,19.900000000000002,71
SKHY,Technology,10/7/2026,177.9,14900,16801,16308,9.4496644295302,74
BSP,Technology,1/7/2026,58.0,2900,4050,3993,37.689655172413794,83
ITG,Other,1/7/2026,19.5,1600,1771,1253,-21.6875,83
LIME,Technology,1/7/2026,7.0,2500,2600,4203,68.12,83
SIND,Basic Materials,26/6/2026,17.8,1200,1200,1573,31.083333333333336,88
DPC,Industrials,25/6/2026,27.9,3300,4688,4577,38.696969696969695,89
DSC,Technology,25/6/2026,3.0,1700,906,793,-53.352941176470594,89
FISN,Utilities,18/6/2026,2.5,1600,1456,777,-51.4375,96
FCBM,Financials,18/6/2026,5.5,1250,1260,1250,0.0,96
KARD,Health Care,18/6/2026,25.0,1600,2200,2026,26.625,96
CAES,Blank Check,17/6/2026,25.0,1000,1011,1007,0.7000000000000001,97
SPCX,Technology,12/6/2026,555.6,13500,16095,13400,-0.7407407407407408,102
FRBT,Financials,11/6/2026,7.9,1800,1810,1902,5.666666666666666,103
EROC,Oil & Gas,10/6/2026,27.9,2150,1875,1301,-39.48837209302326,104
PBLS,Health Care,10/6/2026,33.5,2000,3160,3958,97.89999999999999,104
WHK,Oil & Gas,9/6/2026,7.7,2600,2600,2723,4.730769230769231,105
INIO,Industrials,4/6/2026,90.0,2700,3330,2300,-14.814814814814813,110
LFTO,Technology,4/6/2026,19.0,2300,2845,1836,-20.17391304347826,110
QNT,Technology,4/6/2026,28.0,6000,6038,5490,-8.5,110
SSMR,Basic Materials,4/6/2026,20.0,1350,1718,1745,29.259259259259256,110
AADX,Industrials,3/6/2026,32.5,2000,1901,1550,-22.5,111
DGACU,Blank Check,27/5/2026,15.0,1000,998,996,-0.4,118
PWRL,Financials,27/5/2026,43.2,3500,2768,2768,-20.914285714285715,118
CNXU,Health Care,21/5/2026,9.5,1350,1307,1307,-3.185185185185185,124
LCLN,Financials,20/5/2026,21.1,2000,2252,2332,16.6,125
RACC,Blank Check,20/5/2026,7.5,1000,1030,2290,129.0,125
AMAN,Blank Check,19/5/2026,7.5,1000,1001,1068,6.800000000000001,126
VIDA,Technology,15/5/2026,3.8,400,400,229,-42.75,130
BXDC,Financials,14/5/2026,87.5,2000,1981,1993,-0.35000000000000003,131
CBRS,Technology,14/5/2026,30.0,18500,31107,20985,13.432432432432432,131
EROK,Oil & Gas,14/5/2026,17.3,1850,2184,2616,41.4054054054054,131
MWC,Technology,14/5/2026,2.9,800,820,157,-80.375,131
FRVO,Other,13/5/2026,70.0,2700,3654,4106,52.074074074074076,132
GMRS,Health Care,13/5/2026,31.9,1500,1385,1414,-5.733333333333333,132
MOBI,Health Care,8/5/2026,10.0,1500,1175,1095,-27.0,137
ODTX,Health Care,8/5/2026,15.5,1800,1642,2467,37.05555555555556,137
HAWK,Technology,7/5/2026,16.0,2600,3400,2161,-16.884615384615383,138
SUJA,Consumer Goods,7/5/2026,8.9,2100,1785,750,-64.28571428571429,138
REA,Other,6/5/2026,3.3,1900,1900,1345,-29.210526315789476,139
COAG,Health Care,1/5/2026,16.8,1800,3400,4820,167.77777777777777,144
SPTX,Health Care,1/5/2026,14.2,1800,1984,2404,33.55555555555556,144
AVLN,Health Care,30/4/2026,16.7,1800,2949,3713,106.27777777777779,145
SBMT,Basic Materials,30/4/2026,5.2,1150,1075,795,-30.869565217391305,145
PSUS/PS,Financials,29/4/2026,100.0,5000,4271,3952,-20.96,146
XE,Other,24/4/2026,44.3,2300,2920,1829,-20.47826086956522,151
ELMT,Basic Materials,23/4/2026,8.6,1400,1791,1667,19.071428571428573,152
DETX,Industrials,22/4/2026,3.7,450,456,339,-24.666666666666668,153
NHP,Financials,22/4/2026,38.5,1200,1200,1708,42.333333333333336,153
YSWY,Consumer Services,22/4/2026,14.0,2000,2123,2462,23.1,153
AVEX,Other,17/4/2026,16.0,2000,2693,1808,-9.6,158
ALMR,Health Care,17/4/2026,11.3,1700,2200,3464,103.76470588235294,158
JATT,Blank Check,17/4/2026,6.0,1000,1050,1378,37.8,158
KLRA,Health Care,17/4/2026,39.1,1600,2600,1746,9.125,158
ARXS,Other,16/4/2026,40.5,2800,3875,5370,91.78571428571428,159
MAIR,Consumer Services,16/4/2026,82.7,2700,3175,2625,-2.7777777777777777,159
TMCR,Basic Materials,8/4/2026,0.6,1500,1400,601,-59.93333333333334,167
HMH,Oil & Gas,1/4/2026,10.5,2000,1928,2023,1.15,174
GMTL,Basic Materials,20/3/2026,4.4,1350,1350,1211,-10.296296296296296,186
JAN,Financials,20/3/2026,42.0,2000,2360,3059,52.949999999999996,186
SWMR,Technology,17/3/2026,3.0,500,3100,4591,818.2,189
MDA,Other,12/3/2026,9.8,3050,3080,3125,2.459016393442623,194
PAYP,Other,12/3/2026,55.0,1600,1816,1429,-10.6875,194
CAST,Technology,10/3/2026,19.8,3300,913,187,-94.33333333333334,196
MMED,Health Care,6/3/2026,28.0,2000,1849,2018,0.8999999999999999,200
GENB,Health Care,27/2/2026,25.0,1600,1265,1599,-0.0625,207
BCHT,Utilities,26/2/2026,6.3,240,240,140,-41.66666666666667,208
FVAV,Blank Check,26/2/2026,25.0,1000,1002,1021,2.1,208
ROC,Technology,20/2/2026,4.0,600,616,420,-30.0,214
SHAZ,Technology,19/2/2026,4.2,3000,3170,6085,102.83333333333333,215
APC,Oil & Gas,12/2/2026,11.1,1800,1755,459,-74.5,222
BRAI,Technology,12/2/2026,68.7,3521,4453,562,-84.03862539051406,222
AGBK,Financials,11/2/2026,20.0,1200,1075,598,-50.16666666666667,223
MWH,Other,11/2/2026,20.5,2500,3067,2892,15.68,223
JAGU,Basic Materials,10/2/2026,6.3,400,307,160,-60.0,224
AGMB,Health Care,6/2/2026,12.5,1600,1465,1343,-16.0625,228
OFRM,Consumer Goods,6/2/2026,11.0,1800,2105,1678,-6.777777777777779,228
SGP,Health Care,6/2/2026,9.4,1600,2640,2623,63.9375,228
BOBS,Consumer Goods,5/2/2026,19.5,1700,1702,1805,6.176470588235294,229
CEPS,Blank Check,5/2/2026,10.0,1000,1015,1040,4.0,229
EIKN,Health Care,5/2/2026,21.2,1800,1500,1075,-40.27777777777778,229
FPS,Industrials,5/2/2026,56.0,2700,2900,3336,23.555555555555554,229
MANE,Health Care,4/2/2026,15.1,1700,3775,10532,519.5294117647059,230
PLYX,Health Care,2/2/2026,0.0,4500,3500,214,-95.24444444444444,232
LIFE,Financials,29/1/2026,10.5,1900,1685,3352,76.42105263157895,236
PICS,Technology,29/1/2026,22.9,1900,1900,1005,-47.10526315789474,236
YSS,Other,29/1/2026,18.5,3400,3361,920,-72.94117647058823,236
PPHC,Other,28/1/2026,4.2,1225,1128,1011,-17.46938775510204,237
EQPT,Consumer Goods,23/1/2026,30.5,2450,3256,1827,-25.428571428571427,242
HLXC,Blank Check,23/1/2026,15.0,1000,1025,1085,8.5,242
BTGO,Financials,22/1/2026,11.8,1800,1849,660,-63.33333333333333,243
GCDT,Oil & Gas,13/1/2026,2.5,400,421,39,-90.25,252
AKTS,Health Care,9/1/2026,17.7,1800,2240,2400,33.33333333333333,256
ATCX,Basic Materials,9/1/2026,1.2,800,880,350,-56.25,256
BUDA,Consumer Goods,8/1/2026,2.7,750,811,903,20.4,257
VHCPU,Blank Check,18/12/2025,20.0,1000,0,0,-100.0,278
ANDG,Consumer Services,17/12/2025,11.0,1600,2350,2379,48.6875,279
MDLN,Health Care,17/12/2025,216.0,2900,4100,4383,51.137931034482754,279
WLTH,Financials,12/12/2025,34.6,1400,1419,849,-39.357142857142854,284
LMRI,Health Care,11/12/2025,25.0,1850,1852,1480,-20.0,285
CDNL,Other,10/12/2025,11.5,2100,2350,2982,42.0,286
JMG,Consumer Goods,10/12/2025,3.8,400,560,560,40.0,286
RGNT,Health Care,4/12/2025,1.3,800,750,750,-6.25,292
SMJF,Consumer Goods,4/12/2025,2.5,400,451,451,12.75,292
PARK,Health Care,3/12/2025,1.5,1300,1025,1025,-21.153846153846153,293
CBC,Financials,20/11/2025,17.8,2100,2297,2297,9.380952380952381,306
GLOO,Technology,19/11/2025,9.1,800,810,810,1.25,307
WSHP,Consumer Services,14/11/2025,4.0,2002,3021,3021,50.8991008991009,312
CABR,Consumer Goods,13/11/2025,1.0,400,139,139,-65.25,313
OTH,Consumer Goods,13/11/2025,3.8,400,380,380,-5.0,313
POAS,Industrials,13/11/2025,3.6,400,385,385,-3.75,313
BLLN,Health Care,6/11/2025,4.6,6000,10894,7351,22.516666666666666,320
EVMN,Health Care,6/11/2025,9.4,1600,2023,2650,65.625,320
AERO,Other,6/11/2025,11.7,1900,2035,1572,-17.263157894736842,320
ELWT,Technology,5/11/2025,1.7,900,720,720,-20.0,321
XZO,Financials,5/11/2025,8.0,2100,2101,1545,-26.42857142857143,321
MEHA,Health Care,5/11/2025,0.0,800,275,275,-65.625,321
BETA,Industrials,4/11/2025,29.9,3400,3600,1927,-43.3235294117647,322
CEPV,Blank Check,4/11/2025,22.0,1000,1030,1030,3.0,322
WSTNU,Blank Check,4/11/2025,5.0,1000,1003,1003,0.3,322
BGSI,Consumer Services,31/10/2025,5.5,14100,0,0,-100.0,326
NOMA,Consumer Services,31/10/2025,13.3,3000,2100,2100,-30.0,326
NAVN,Technology,30/10/2025,36.9,2500,2000,1560,-37.6,327
MPLT,Health Care,27/10/2025,14.8,1700,1834,1851,8.882352941176471,330
AGCC,Consumer Goods,22/10/2025,1.8,400,605,605,51.24999999999999,335
NPT,Basic Materials,22/10/2025,1.9,500,491,491,-1.7999999999999998,335
AHMA,Other,21/10/2025,1.5,400,465,465,16.25,336
BGIN,Financials,21/10/2025,5.0,600,496,496,-17.333333333333336,336
MCTA,Health Care,21/10/2025,1.6,400,700,700,75.0,336
ACCL,Consumer Services,17/10/2025,1.4,400,405,405,1.25,340
SEV,Consumer Goods,16/10/2025,31.7,0,0,0,,341
OWLS,Financials,16/10/2025,4.7,6800,5555,5555,-18.308823529411764,341
SLGB,Other,15/10/2025,1.0,500,528,363,-27.400000000000002,342
TCGL,Technology,15/10/2025,2.6,400,493,400,0.0,342
RPGL,Technology,14/10/2025,2.1,400,498,131,-67.25,343
ALH,Industrials,9/10/2025,37.6,2200,2482,2076,-5.636363636363637,348
LFS,Other,9/10/2025,1.3,400,311,311,-22.25,348
YDDL,Basic Materials,9/10/2025,2.0,500,542,542,8.4,348
PXED,Consumer Services,9/10/2025,4.3,3200,3815,3031,-5.28125,348
